,YM,CATEGORY,ITEM_CNT,QTY,PRICE,MAXTEMP,SALEDAY,RAIN_DAY,HOLIDAY
104,201208,"스포츠,이온음료",20,3241,1530,30,228142,32385,9
105,201209,"스포츠,이온음료",20,2598,1560,25,223581,23569,10
106,201210,"스포츠,이온음료",19,2252,1600,21,233331,11111,10
107,201211,"스포츠,이온음료",19,1069,1600,11,229144,4805,8
108,201212,"스포츠,이온음료",18,882,1603,2,239129,3706,11
109,201301,"스포츠,이온음료",18,1199,1625,2,240416,2528,9
110,201302,"스포츠,이온음료",18,955,1625,5,217015,6667,9
111,201303,"스포츠,이온음료",17,1895,1668,12,243648,4364,11
112,201304,"스포츠,이온음료",18,1797,1631,15,237340,6727,8
113,201305,"스포츠,이온음료",20,2705,1613,23,245068,17217,10
114,201306,"스포츠,이온음료",21,3282,1626,28,236180,7360,11
115,201307,"스포츠,이온음료",22,2972,1661,29,241687,41344,8
116,201308,"스포츠,이온음료",23,4194,1657,31,240142,22284,10
117,201309,"스포츠,이온음료",24,2476,1685,26,231662,13699,12
118,201310,"스포츠,이온음료",23,1947,1693,21,239981,3011,10
119,201311,"스포츠,이온음료",23,1233,1693,12,232854,2944,9
120,201312,"스포츠,이온음료",23,1182,1693,5,240458,202,10
