,YM,CATEGORY,QTY,PRICE,MAXTEMP,SALEDAY,HOLIDAY,,,,,,,,,,
58,201310,"스포츠,이온음료",1947,1693,21,239981,10,,30,2188.136411,-173.1364108,,108.5923777,,,,
59,201311,"스포츠,이온음료",1233,1693,12,232854,9,,31,2581.323486,-328.3234856,,114.5727246,,,,
60,201312,"스포츠,이온음료",1182,1693,5,240458,10,,32,2558.060209,371.9397912,,87.30580917,,,,
,,,,,,,,,33,2401.463644,-137.4636438,,106.0717157,,,,
,,,,,,,,,34,2055.173179,-445.1731788,,127.650508,,,,
,,,,,,,,,35,1526.288508,-310.2885076,,125.517147,,,,
,,,,,,,,,36,994.0072093,-60.00720928,,106.4247547,,,,
,,,,,,,,,37,1033.604523,-20.60452315,,102.0340102,,,,
,,,,,,,,,38,731.0404348,197.9595652,,78.69111247,,,,
,,,,,,,,,39,1687.619112,-516.6191125,,144.1177722,,,,
,,,,,,,,,40,2029.958173,276.0418272,,88.02940905,,,,
,,,,,,,,,41,2617.732814,1053.267186,,71.30843949,,,,
,,,,,,,,,42,2926.416978,-88.41697808,,103.1154679,,,,
,,,,,,,,,43,2764.857914,251.1420856,,91.67300777,,,,
,,,,,,,,,44,3144.034064,96.96593621,,97.0081476,,,,
,,,,,,,,,45,2735.1389,-137.1389001,,105.2786336,,,,
,,,,,,,,,46,2467.485266,-215.4852661,,109.5686175,,,,
,,,,,,,,,47,1594.279215,-525.2792154,,149.1374383,,,,
,,,,,,,,,48,1340.700927,-458.7009273,,152.0069079,,,,
,,,,,,,,,49,1135.630927,63.36907284,,94.71483963,,,,
,,,,,,,,,50,1037.964134,-82.96413375,,108.6873438,,,,
,,,,,,,,,51,1862.441714,32.55828605,,98.28188464,,,,
,,,,,,,,,52,1868.667986,-71.66798619,,103.9882018,,,,
,,,,,,,,,53,2709.702069,-4.702068522,,100.1738288,,,,
,,,,,,,,,54,2965.964481,316.0355185,,90.37064234,,,,
,,,,,,,,,55,2764.347285,207.6527145,,93.01303114,,,,
,,,,,,,,,56,3043.370331,1150.629669,,72.56486244,,,,
,,,,,,,,,57,2667.227489,-191.2274887,,107.7232427,,,,
,,,,,,,,,58,2261.780258,-314.7802579,,116.1674503,,,,
,,,,,,,,,59,1494.257267,-261.2572671,,121.1887483,,,,
,,,,,,,,,60,1200.406146,-18.40614555,,101.5572035,,,,
,,,,,,,,,,,,,100.3759027,,,,
